SERVICO_OU_PRODUTO,RAZAO_SOCIAL,NOME_FANTASIA,TELEFONE,EMAIL,UF,CIDADE,ENDERECO,CNPJ,SITE,CNAE,PORTIFÓLIO,NOTA
Aquisição - (Acessórios de Informática),Ferreira Costa & CIA LTDA,-,(81) 3338-8309,SANDRO.MELO@FERREIRACOSTA.COM.BR,PE,Recife,"Avenida Mal. Mascarenhas de Morais, 2929/2967 - Imbiribeira",10.230.480/0019-60,https://www.ferreiracosta.com/,47.44-0-99 - Comércio varejista de materiais de construção em geral,,
Aquisição - (Acessórios de Informática),Magazine Luiza S/A,Magazine Luiza,(16) 3711-2002,FISCAL.ESTADUAL@MAGAZINELUIZA.COM.BR,SP,Louveira,"Rodovia bandeirantes KM 68, 760, 13213-902 - Rio Abaixo",47.960.950/0449-27,https://www.magazineluiza.com.br/,"47.13-0-04 - Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",,
Aquisição - (Acessórios de Informática),Ana Luiza Lins da Silva 05935772485,Analu Store,(81) 9634-7629,ANALUIZALINS90@GMAIL.COM,PE,Recife,"Rua Pudrente de Moraes, 436, 52041-725 - Hipodromo",45.344.060/0001-60,-,47.53-9-00 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,,
Aquisição - (Acessórios de Informática),Central Cabos Comercio de Conexoes Eletronicas LTDA,Central Cabos,(11) 3334-0044/ (11) 3334-0044,rochaview@uol.com.br,SP,São Paulo,"Rua Aurora, 154, 01209-000 - Santa Efigenia",08.626.431/0001-70,https://www.centralcabos.com.br/,"46.52-4-00 - Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação
",,
Aquisição - (Acessórios de Informática),TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA,IBYTE COMPUTADORES,(85) 3535-4469/ (85) 3535-4480,"CONTABILIDADE@IBYTE.COM.BR
",CE,Fortaleza,"R CLEIA,440,60.863-280 - BARROSO",07.272.825/0004-57,-,"46.51-6-01 - Comércio atacadista de equipamentos de informática
",,
Aquisição - (Acessórios de Informática),,,(11)2338-9260 | (11)93081-0836,JULIANA@KMREPRESENTAÇÃO.COM,,,,,,,Link,
Aquisição - (Acessórios de Informática),TERABYTE ATACADO E VAREJO DE PRODUTOS DE INFORMATICA LTDA,TERABYTE SHOP,(41) 3086-2957,"ECAVALHERE72@GMAIL.COM
",PR,Curitiba,"AV JOAO GUALBERTO, 1259, SALA 801 ANDAR 08 COND LAIS PERETTI CT EMPR, 80.030-000 - 80.030-000",07.993.973/0001-18,-,47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática,,
Aquisição - (Baterias Alcalinas),COFERMETA S/A ,COFERMETA S/A ,(31) 3290-2184,CARLOSMOREIRA@COFERMETA.COM.BR,MG,Contagem,"R MANOEL PEREIRA MENDES,333,SALA A, 32.010-040  - CINCO","17.281.973/0013-82
",-,47.44-0-01 - Comércio varejista de ferragens e ferramentas,,
Aquisição - (Baterias Alcalinas),AMERICANAS S.A - EM RECUPERACAO JUDICIAL,-,(11) 4003-4848/ (11) 4003-5544,FISCAL.NFE@B2WDIGITAL.COM,SP,Osasco,"R HENRY FORD, 643, GALPAO DE ESTOCAGEM DOCAS F03 A F18 L06 E L07, 06.210-108 - PRESIDENTE ALTINO",00.776.574/0001-56 ,-,47.89-0-99 - Comércio varejista de outros produtos não especificados anteriormente,,
Aquisição - (Baterias Alcalinas),MAGAZINE LUIZA AS,MAGAZINE LUIZA,(16) 3711-2002,FISCAL.ESTADUAL@MAGAZINELUIZA.COM.BR,SP,Louveira,"ROD DOS BANDEIRANTES, KM 68+760, SN, SETOR A, 13.294-901 - GLEBAS",47.960.950/0449-27,-,"47.13-0-04 - Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",,
Aquisição - (Bobinas),CONNECT SIGN ADESIVOS COMERCIO ATACADO E VAREJO LTDA,CONNECT SIGN,(81) 9520-8768,CONTATO@CONNECTSIGN.COM.BR,PE,Caruaru,"R PADRE MANOEL DA NOBREGA, 00191, 55.008-540 - SAO FRANCISCO",42.680.653/0001-09,-,47.61-0-03 - Comércio varejista de artigos de papelaria,,
Aquisição - (Bobinas),PRINT MAIS DISTRIBUIDORA DE PRODUTOS ELETRONICOS LTDA,PRINT MAIS DISTRIBUIDORA,(83) 4009-3939/ (83) 3022-0458,ADRIANO.ADM@PRINTMAISPB.COM.BR,PB,João Pessoa,"R JOAQUIM TORRES, 582, GALPAO598, GALPAO598 - TORRE",10.528.952/0001-36,-,46.49-4-02 - Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,,
Aquisição - (Bobinas),TEGAPE QUIMICA LTDA,TEGAPE QUIMICA,(41) 2105-8006/ (41) 2105-8002,CONTABILIDADEPI@TEGAPE.COM.BR,PR,Curitiba,"R MATEUS LEME,799, 80.510-192 - SAO FRANCISCO",76.760.776/0001-71,-,"46.93-1-00 - Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",,
Aquisição - (Camisetas),MAGAZINE LUIZA AS,MAGAZINE LUIZA,(16) 3711-2002,FISCAL.ESTADUAL@MAGAZINELUIZA.COM.BR,SP,Louveira,"ROD DOS BANDEIRANTES, KM 68+760, SN, SETOR A, 13.294-901 - GLEBAS",47.960.950/1088-36,-,"47.13-0-04 - Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",,
Aquisição - (Camisetas),EMPÓRIO DA FAMILIA - INDUSTRIA E COMERCIO DE CONFECCOES LTDA,EMPORIO DA FAMILIA,(41) 3286-1158,JOAO@EMPORIODAFAMILIA.COM.BR,PR,Curitiba,"R BLEY ZORNING, 1158, SALA 02, 81.730-350 - BOQUEIRAO",07.283.550/0001-04,-,"14.12-6-01 - Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",,
Aquisição - (Camisetas),MRANTE INDUSTRIA E COMERCIO EIRELI - ME,-,(47) 9191-2223,FINANCEIRO@LOJAMIRANTE.COM.BR,SC,Gaspar,"R ANFILOQUIO NUNES PIRES, 5021, GALPAO, 89.111-081 - BELA VISTA",23.966.188/0001-22,-,"14.12-6-01 - Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",,
Aquisição - (Camisetas),ISMART INDUSTRIA E COMERCIO DE CONFECCAO LTDA,ISMART COMERCIO,(81) 3241-3416,-,PE,Recife,"AV RECIFE, 5605, GALPAO: A; BLOCO: A; SALA: 1;, 50.781-000 - AREIAS",05.419.871/0001-68,-,"18.22-9-99 - Serviços de acabamentos gráficos, exceto encadernação e plastificação",,
Aquisição - (Canecas),MADEIRAMADEIRA COMERCIO ELETRONICO S/A,MADEIRAMADEIRA COMERCIO ELETRONICO S/A,(41) 4063-7105,EMERSON.FREITAS@MADEIRAMADEIRA.COM.BR,PR,Curitiba,"R MARECHAL DEODORO, 717, CONJ 202 ANDAR 02 COND MURALHA ED, 80.020-320 - CENTRO",10.490.181/0001-35,-,47.54-7-01 - Comércio varejista de móveis,,
